Date,close,open,high,low,volume,pct_chg,swing,oi,chn_nonferrous,sha_ind,sp500_ind,djind_ind,nasd_ind,spcha_ind,djglo+ind,hs_ind,eu100_ind,spal_ind,shfeal_ind
2018-07-10,2085.5,2107.0,2126.5,2081.5,13417.0,-1.6737,2.1393,4118.0,3049.42,2961.3,2793.84,24919.66,7759.2,5092.18,398.72,28682.25,1065.22,59.56,14152.76
2018-07-11,2060.5,2082.5,2086.5,2053.0,15711.0,-1.4115,1.6063,5224.0,2961.81,2909.09,2774.02,24700.45,7716.61,5014.39,395.19,28311.69,1052.89,58.69,13987.69
2018-07-12,2041.5,2060.5,2080.0,2032.0,17965.0,-0.8981,2.3295,5470.0,3022.25,2971.82,2798.29,24924.89,7823.92,5126.12,397.47,28480.83,1061.95,58.15,14099.72
2018-07-13,2036.0,2042.0,2058.0,2021.5,14281.0,-0.2938,1.7879,8357.0,2999.47,2965.01,2801.31,25019.41,7825.98,5163.93,398.34,28525.44,1066.17,57.84,14014.27
2018-07-16,2062.5,2038.0,2074.0,2029.0,16486.0,1.551,2.2102,4649.0,2985.15,2947.06,2798.43,25064.36,7805.72,5149.39,397.74,28539.66,1062.74,58.54,13996.81
2018-07-17,2031.5,2058.0,2087.0,2030.5,13653.0,-1.1436,2.7394,36190.0,2977.89,2930.37,2809.55,25119.89,7855.12,5111.17,398.7,28181.68,1064.64,57.89,14079.56
2018-07-18,2035.5,2034.0,2045.0,2022.0,14007.0,0.1722,1.1322,4646.0,2968.81,2919.0,2815.62,25199.29,7854.44,5076.49,399.31,28117.42,1070.94,57.76,14032.75
2018-07-19,2006.0,2030.5,2052.0,2001.5,18102.0,-1.036,2.481,6096.0,2984.32,2903.6,2804.49,25064.5,7825.3,5070.44,397.83,28010.86,1068.53,57.03,14074.54
2018-07-20,2042.5,2007.0,2047.0,2003.0,17835.0,2.074,2.1934,7907.0,2990.07,2963.15,2801.83,25058.12,7820.2,5136.98,398.88,28224.48,1067.38,57.99,14064.68
2018-07-23,2065.0,2033.0,2081.0,2029.0,17976.0,1.7743,2.5459,4205.0,3011.33,2994.89,2806.98,25044.29,7841.87,5194.51,398.81,28256.12,1063.62,59.06,14256.78
2018-07-24,2078.5,2067.5,2114.0,2051.5,19402.0,0.4592,3.0266,5024.0,3015.85,3043.13,2820.4,25241.94,7840.77,5313.32,400.98,28662.57,1072.3,59.48,14355.66
2018-07-25,2064.0,2077.0,2087.5,2053.0,12382.0,-0.9834,1.6599,2924.0,3048.99,3041.1,2846.07,25414.1,7932.24,5313.9,402.97,28920.9,1072.27,58.85,14400.48
2018-07-26,2068.0,2067.0,2092.0,2053.0,10853.0,0.291,1.8895,2465.0,3056.38,3018.61,2837.44,25527.07,7852.19,5252.79,403.31,28781.14,1076.03,59.02,14354.16
2018-07-27,2053.0,2069.0,2079.0,2051.0,8895.0,-0.6773,1.354,3011.0,3062.58,3009.53,2818.82,25451.06,7737.42,5255.75,402.52,28804.28,1080.72,59.15,14422.89
2018-07-30,2077.5,2058.0,2093.0,2052.0,9834.0,0.3139,1.9971,3583.0,3031.2,3004.79,2802.6,25306.83,7630.0,5242.01,401.15,28733.13,1075.87,59.77,14448.01
